id,平均视频更新时间,UP主所在分区,视频平均时长,视频总数,视频平均点赞数,视频平均硬币数,视频平均转发数,视频平均弹幕数,视频平均收藏数,视频平均播放量,视频平均评论数,视频推荐指数,点赞/播放量超过4%的视频数,粉丝数
352637817,2.590909090909091,美食,216.20454545454547,308,26420.564935064936,4296.269480519481,2308.181818181818,677.987012987013,10698.672077922078,477642.87987012987,637.7077922077922,136818.24237012997,285,3015329
2051617240,6.791666666666667,游戏,753.1666666666666,72,21757.63888888889,6158.736111111111,1508.0,1589.611111111111,1594.7222222222222,454822.5416666667,1129.013888888889,127342.85208333324,28,1320613
94281836,2.3592814371257487,生活,267.10179640718565,501,52476.10379241517,7558.522954091816,3564.3333333333335,3151.231536926148,4050.487025948104,838933.4590818363,950.8043912175649,238741.7759481039,473,3014230
7223194,9.147286821705427,生活,365.6744186046512,129,32997.79069767442,13012.658914728681,2167.4418604651164,2672.6744186046512,9659.248062015504,543536.7364341086,855.3100775193799,159897.7972868217,113,1293701
394067394,13.485714285714286,生活,749.2714285714286,70,34764.37142857143,15992.757142857143,3271.7714285714287,1225.8,4434.128571428571,331054.5,1036.057142857143,107264.52071428571,70,1473166
391679,16.145631067961165,音乐,408.84466019417476,103,64547.728155339806,42215.94174757282,14869.669902912621,9472.582524271844,31521.776699029127,1147233.8446601941,2845.4174757281553,352819.4640776699,71,2603599
653768,1.6854066985645932,游戏,1011.244019138756,836,12571.661483253589,3775.438995215311,1610.498803827751,796.6327751196172,3253.4210526315787,292598.7009569378,1078.3959330143541,82380.85251196173,664,1341330
104853743,22.02777777777778,游戏,286.3888888888889,36,111111.13888888889,15119.416666666666,1816.3055555555557,2182.5,12823.805555555555,1755194.1666666667,1039.4722222222222,495516.47777777776,35,1400345
50660116,3.1819757365684573,美食,213.21317157712306,577,19230.240901213172,3531.5545927209705,1072.1750433275563,862.4870017331023,8963.523396880417,588250.0485268631,357.01906412478337,159987.39480069332,348,2736488
298484,3.1794871794871793,游戏,1486.751282051282,390,15833.179487179486,3463.825641025641,988.651282051282,1049.2923076923078,2629.0820512820515,393239.317948718,984.0230769230769,108223.87307692299,267,1501716
43389575,3.782608695652174,娱乐,296.9782608695652,46,1244.3260869565217,13.804347826086957,26.130434782608695,9.08695652173913,59.34782608695652,38949.36956521739,18.934782608695652,10285.285869565216,6,2436991
9321359,3.296,科技,486.204,250,9048.108,2091.292,745.212,1100.128,1596.288,279079.5,1109.448,76035.47899999995,64,1426818
8937568,5.458937198067633,游戏,492.30434782608694,207,93514.23188405797,18125.502415458937,850.6763285024155,3974.478260869565,16741.574879227053,1478954.5990338165,941.2705314009662,421893.7212560384,190,1965709
52165725,17.25,知识,606.15,40,46649.4,18206.05,2114.55,4194.9,6950.525,644620.4,1420.6,192697.3675,28,2075137
16853896,12.656,生活,414.032,125,65397.72,28120.992,1742.32,4584.96,7105.088,1171525.544,1194.864,335777.71880000003,105,1487588
414641554,5.783783783783784,美食,343.0162162162162,185,46711.302702702706,7080.335135135135,2010.8648648648648,2769.1405405405403,2755.562162162162,822461.6,906.8810810810811,230635.6513513512,160,1929327
249118,21.835443037974684,动画,382.5189873417722,79,59290.582278481015,27526.050632911392,4743.974683544304,2195.6708860759495,19785.3417721519,855422.1898734177,1404.5822784810127,258804.2892405063,75,2007288
290548469,5.413043478260869,知识,1083.4239130434783,92,15042.989130434782,3903.554347826087,1166.1304347826087,1540.1630434782608,2460.771739130435,425213.652173913,471.07608695652175,116124.43586956518,31,1621151
312776787,365.0,游戏,23.0,1,3738.0,97.0,454.0,23.0,632.0,157360.0,342.0,41482.0,0,1904
19693868,4.580357142857143,美食,94.3125,112,51818.53571428572,1789.732142857143,836.25,300.5892857142857,9314.74107142857,1338290.107142857,381.05357142857144,359584.66339285707,42,1328637
13199099,2.4515151515151516,生活,5937.418181818181,330,44150.90606060606,6960.784848484848,3427.2818181818184,918.8363636363637,4971.778787878788,655588.6787878788,645.2454545454545,188515.3815151515,321,1850208
17561219,2.3547008547008548,游戏,324.1111111111111,234,3363.594017094017,176.01282051282053,143.57264957264957,114.03846153846153,185.84615384615384,94071.03418803419,147.2905982905983,25180.03034188035,140,2753276
349670393,11.28125,知识,690.4375,32,4400.78125,2254.65625,300.8125,313.1875,5544.3125,97099.25,293.71875,29023.531249999996,24,351329
17819768,4.297794117647059,影视,2149.863970588235,272,65791.6875,37266.46323529412,3018.9338235294117,11618.889705882353,9766.194852941177,1377915.2132352942,1805.922794117647,395813.20735294116,209,5363210
197098,9.24074074074074,游戏,363.5740740740741,54,14021.907407407407,2008.5,320.0740740740741,296.64814814814815,1200.8703703703704,220006.37037037036,321.8333333333333,62213.45370370369,49,1611912
